companies,prices,locations,published_by,floors,construction_status,start_price,final_price,price_range,locality,floor_plan
Ambience,,"in Kompally , Hyderabad",by Sita Shelters Pvt. Ltd.,2 Floor Plan,Under Construction,,[],[],['in Kompally '],['2']
TMR Green Meadows,,"in Chegunta , Hyderabad",by TMR Infra Pvt. Ltd.,,Possession in 2024,,[],[],['in Chegunta '],[]
Suraksha Green City,45.7 Lac -  62.5 Lac,"in Ankushapur , Hyderabad",by Surakshaa Infra Projects,,Ready To Move,45.7,[- 62.5 Lac],"[('45.7', 'Lac', '62.5', 'Lac')]",['in Ankushapur '],[]
ASBL Landmark,1.50 Cr -  2.61 Cr,"in Kukatpally, NH 9 , Hyderabad",by ASBL Ashoka Builders India Pvt Ltd,5 Floor Plan,Possession in 2028,150.0,[- 2.61 Cr],"[('1.50', 'Cr', '2.61', 'Cr')]",['in Kukatpally'],['5']
Jain Pramukh Samriddhi Towers,2.34 Cr -  4.71 Cr,"in Satamrai , Hyderabad",by Jain Constructions,10 Floor Plan,Possession in 2028,234.0,[- 4.71 Cr],"[('2.34', 'Cr', '4.71', 'Cr')]",['in Satamrai '],['10']
Golden Arena,24.8 Lac -  57.8 Lac,"in Kadthal , Hyderabad",by Shubha Avani Developers,,Possession in 2026,24.8,[- 57.8 Lac],"[('24.8', 'Lac', '57.8', 'Lac')]",['in Kadthal '],[]
Ashoka Heights,,"in Kukatpally, NH 9 , Hyderabad",0,,Ready To Move,,[],[],['in Kukatpally'],[]
NSL Nakshatra,1.91 Cr -  3.32 Cr,"in Kukatpally Housing Board Road , Hyderabad",by NSL Infratech Pvt. Ltd.,,Possession in 2028,191.0,[- 3.32 Cr],"[('1.91', 'Cr', '3.32', 'Cr')]",['in Kukatpally Housing Board Road '],[]
My Home Akrida,99.1 Lac -  1.73 Cr,"in Tellapur, Outer Ring Road , Hyderabad",by Tellapur Technocity Private Limited,6 Floor Plan,Possession in 2028,99.1,[- 1.73 Cr],"[('99.1', 'Lac', '1.73', 'Cr')]",['in Tellapur'],['6']
HITEK PARK,,"in Shadnagar , Hyderabad",by Lifestyle Housing,,Possession in 2025,,[],[],['in Shadnagar '],[]
